aslevy.com/go-doc,Unknown,BSD-3-Clause
github.com/alecthomas/chroma/v2,Unknown,MIT
github.com/aymanbagabas/go-osc52,https://github.com/aymanbagabas/go-osc52/blob/v1.2.1/LICENSE,MIT
github.com/aymerick/douceur,https://github.com/aymerick/douceur/blob/v0.2.0/LICENSE,MIT
github.com/charmbracelet/glamour,Unknown,MIT
github.com/dlclark/regexp2,https://github.com/dlclark/regexp2/blob/v1.7.0/LICENSE,MIT
github.com/gorilla/css/scanner,https://github.com/gorilla/css/blob/v1.0.0/LICENSE,BSD-3-Clause
github.com/lucasb-eyer/go-colorful,https://github.com/lucasb-eyer/go-colorful/blob/v1.2.0/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.16/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.14/LICENSE,MIT
github.com/microcosm-cc/bluemonday,https://github.com/microcosm-cc/bluemonday/blob/v1.0.21/LICENSE.md,BSD-3-Clause
github.com/muesli/reflow,https://github.com/muesli/reflow/blob/v0.3.0/LICENSE,MIT
github.com/muesli/termenv,https://github.com/muesli/termenv/blob/v0.13.0/LICENSE,MIT
github.com/olekukonko/tablewriter,https://github.com/olekukonko/tablewriter/blob/v0.0.5/LICENSE.md,MIT
github.com/rivo/uniseg,https://github.com/rivo/uniseg/blob/v0.4.3/LICENSE.txt,MIT
github.com/yuin/goldmark,https://github.com/yuin/goldmark/blob/v1.5.3/LICENSE,MIT
github.com/yuin/goldmark-emoji,https://github.com/yuin/goldmark-emoji/blob/v1.0.1/LICENSE,MIT
golang.org/x/exp,https://cs.opensource.google/go/x/exp/+/0915cd71:LICENSE,BSD-3-Clause
golang.org/x/mod/semver,https://cs.opensource.google/go/x/mod/+/v0.6.0:LICENSE,BSD-3-Clause
golang.org/x/net/html,https://cs.opensource.google/go/x/net/+/v0.4.0:LICENSE,BSD-3-Clause
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.3.0:LICENSE,BSD-3-Clause
